;ADDRESS;CITY;REGION;Postamat_daily;cashbox_daily;Postamat_trend;cashbox_MAX;cashbox_trend;hh_500;value1;value2;POPULATION;NEAR_Malls;NEAR_Business_centers;NEAR_metro_rjd;NEAR_Stations;macro_salary_avg_yearly
273;г.Тула, Жуковского ул, 80;ТУЛА;Тульская область;;;;;;1566;9922;2542;482873;0;0;;;387679
274;г.Тула, Макаренко ул, 19 к.2,п.1;ТУЛА;Тульская область;;;;;;2468;9920;2484;482873;0;0;;;387679
275;г.Алексин, Дружбы ул., 7;АЛЕКСИН;Тульская область;;;;;;2533;9969;2718;61732;0;0;;;387679
276;г.Обнинск, Долгининская ул, 6 п.295;ОБНИНСК;Калужская область;;2.5;;10;1;2548;9933;2528;104739;0;0;;;423321
277;г.Новомосковск, Солнечная ул, 10Б;НОВОМОСКОВСК;Тульская область;;0.6;;6;0;2537;9929;2638;131386;0;0;;;387679
278;г.Алексин, Болотова ул., 10А;АЛЕКСИН;Тульская область;1;0.7;0;5;1;1389;9968;2790;61732;0;0;;;387679
279;г.Донской, Центральный мкр, Терпигорева ул, 2;ДОНСКОЙ;Тульская область;;;;;;1482;9964;2696;64552;0;0;;;387679
280;г.Узловая, Привокзальная ул, стр.4;УЗЛОВАЯ;Тульская область;;;;;;1272;9941;2694;55282;0;0;;;387679
281;г.Кимовск, Октябрьская ул., 22;КИМОВСК;Тульская область;1;0.5;0;3;1;1457;9982;2741;28485;0;0;;;387679
282;г.Кимовск, Коммунистическая ул, 5А;КИМОВСК;Тульская область;1;0.4;0;3;1;2691;9991;2746;28485;0;0;;;387679
283;г.Ефремов, Мира ул, 2А;ЕФРЕМОВ;Тульская область;;1.1;;5;1;2974;9971;2843;42350;0;0;;;387679
284;г.Кимовск, Октябрьская ул., 37А;КИМОВСК;Тульская область;;0.7;;5;1;2955;9984;2714;28485;0;0;;;387679
285;д.Кабицино, Обнинская ул., 1 Б;Кабицино;Калужская область;;;;;;232;10079;2887;270;0;0;;;423321
286;с.Перемышль, Коммунаров ул, 6;ПЕРЕМЫШЛЬ;Калужская область;;;;;;427;10076;2871;3279;0;0;;;423321
287;п.Товарковский, Кирова ул., 5;ТОВАРКОВСКИЙ;Тульская область;;;;;;835;10031;2847;7587;0;0;;;387679
288;рп.Одоев, Л.Толстого ул., 2-к;ОДОЕВ;Тульская область;;;;;;546;10066;2834;6144;0;0;;;387679
289;п.Бабынино, Центральная ул, 14;БАБЫНИНО;Калужская область;;;;;;467;10059;2828;3725;0;0;;;423321
290;г.Мещовск, Революции пр-кт, 10А;МЕЩОВСК;Калужская область;;;;;;840;10029;2801;4100;0;0;;;423321
291;п.Дубна, Льва Толстого ул., 1 Б;ДУБНА;Тульская область;;;;;;1601;10048;2796;5980;0;0;;;387679
292;с.Детчино, Московская ул, 73Б;ДЕТЧИНО;Калужская область;;;;;;970;9996;2750;5010;0;0;;;423321
293;п.Первомайский, Интернациональная ул., 3 А;ПЕРВОМАЙСКИЙ;Тульская область;;;;;;2485;9985;2739;10058;0;0;;;387679
294;с.Ворсино, Лыскина ул., 22А п.1-13;Ворсино;Калужская область;;;;;;621;10055;2737;1684;0;0;;;423321
295;г.Липки, Трудовая ул., 13;ЛИПКИ;Тульская область;;;;;;1152;9984;2731;8719;0;0;;;387679
296;г.Киров, Пролетарская ул., 25;КИРОВ;Калужская область;1;;0;;;1919;9956;2729;31882;0;0;;;423321
297;пгт.Ревякино, Советская ул., 12А;РЕВЯКИНО ПОСЁЛОК;Тульская область;;;;;;1242;9990;2727;2970;0;0;;;387679
298;г.Малоярославец, Курсантов Подольских ул, 28;МАЛОЯРОСЛАВЕЦ;Калужская область;;;;;;965;10065;2720;30392;0;0;;;423321
299;г.Людиново, Урицкого ул., 5;ЛЮДИНОВО;Калужская область;;;;;;2282;9956;2720;40530;0;0;;;423321
300;г.Козельск, Чкалова ул., 82 А;КОЗЕЛЬСК;Калужская область;;;;;;766;9986;2715;18245;0;0;;;423321
301;г.Киров, Жмакина ул., 68;КИРОВ;Калужская область;1;3.2;0;11;1;1776;9969;2704;31882;0;0;;;423321
302;п.Новогуровский, Центральная ул., 3;НОВОГУРОВСКИЙ;Тульская область;;;;;;1209;9991;2702;3590;0;0;;;387679
303;г.Венев, Льва Толстого ул., 13;ВЕНЁВ;Тульская область;;;;;;1271;9957;2665;15224;0;1;;;387679
304;п.Товарково, Центральная ул, 51 А;ТОВАРКОВО;Калужская область;;;;;;840;9922;2556;14496;0;0;1;;423321
305;г.Малоярославец, Ленина ул, 7;МАЛОЯРОСЛАВЕЦ;Калужская область;3;1.3;1;11;1;2081;9957;2702;30392;0;0;;;423321
306;г.Кимовск, Некрасова ул., 20А;КИМОВСК;Тульская область;;0.5;;3;;3070;9933;2629;28485;0;0;;;387679
307;г.Щекино, Ремонтников ул., 4 А;ЩЁКИНО;Тульская область;;;;;;1286;9959;2678;58139;0;0;;;387679
308;г.Новомосковск, Свободы ул, 5;НОВОМОСКОВСК;Тульская область;;0.4;;2;;456;9978;2722;131386;0;0;;остановка;387679
309;г.Алексин, Ленина ул., 1;АЛЕКСИН;Тульская область;;0.6;;4;1;2392;9939;2686;61732;0;0;;;387679
310;г.Донской, мкр.Центральный, Красноармейская ул, 1Б;ДОНСКОЙ;Тульская область;;;;;;1067;9940;2690;64552;0;0;;остановка;387679
311;г.Узловая, Генерала Васильева ул, 22;УЗЛОВАЯ;Тульская область;;;;;;1458;9953;2643;55282;0;0;;остановка;387679
312;г.Алексин, Южная ул, 9;АЛЕКСИН;Тульская область;;;;;;1839;9927;2597;61732;0;0;;;387679
313;г.Алексин, Дубравная ул, 36;АЛЕКСИН;Тульская область;;;;;;2508;9924;2586;61732;0;0;;;387679
314;г.Киреевск, Тесакова ул, 10;КИРЕЕВСК;Тульская область;;0.6;;7;1;852;9995;2770;25557;0;0;;;387679
315;г.Плавск, Победы ул., 1 Е;ПЛАВСК;Тульская область;;1.9;;18;1;2368;9972;2730;16165;0;0;;;387679
316;г.Кимовск, Бессолова ул, 10;КИМОВСК;Тульская область;;;;;;2456;9925;2538;28485;0;1;;;387679
317;г.Ефремов, Короткова ул, 20;ЕФРЕМОВ;Тульская область;;1.3;;6;1;3374;9920;2566;42350;0;0;;;387679
318;г.Плавск, Свободы пл., стр.2;ПЛАВСК;Тульская область;;;;;;402;10044;2872;16165;0;0;;;387679
319;г.Киреевск, Октябрьская ул., 42;КИРЕЕВСК;Тульская область;;;;;;628;10037;2793;25557;0;0;;автостанция;387679
320;г.Кондрово, Комсомольская ул, 8;КОНДРОВО;Калужская область;;1;;7;1;394;10039;2784;16672;0;0;;;423321
321;г.Богородицк, Шахтная ул., 2 А;БОГОРОДИЦК;Тульская область;;;;;;2170;9977;2761;31897;0;0;;;387679
322;г.Таруса, Ленина ул, 9;ТАРУСА;Калужская область;;1.2;;5;1;404;9986;2758;9660;0;0;;;423321
323;г.Мосальск, Калужская ул., 60;МОСАЛЬСК;Калужская область;;;;;;292;10074;2755;4288;0;0;;;423321
324;рп.Куркино, Октябрьская ул., 57;КУРКИНО;Тульская область;;;;;;834;10042;2751;5411;0;0;;;387679
325;г.Козельск, Советская Б.ул, 30;КОЗЕЛЬСК;Калужская область;;;;;;262;10006;2746;18245;0;0;;;423321
326;с.Воскресенское, Заводская ул., 12 А;Воскресенское;Тульская область;;;;;;694;10019;2743;2573;0;0;;;387679
327;п.Дубовка, Щербакова ул., 7А;ДУБОВКА ПОСЁЛОК;Тульская область;;;;;;1556;9968;2732;8942;0;0;;;387679
328;г.Юхнов, Революции ул., 1;ЮХНОВ;Калужская область;;;;;;336;10027;2727;7056;0;0;;;423321
329;г.Сухиничи, Ленина ул., 78;СУХИНИЧИ;Калужская область;;;;;;845;9957;2720;16273;0;0;;;423321
330;п.Пятовский, Ленина ул., 2В;ПЯТОВСКИЙ;Калужская область;;;;;;555;9978;2719;2984;0;0;;;423321
331;д.Новое Казачье, Буканова ул, 11Б;Новое Казачье;Калужская область;;;;;;68;10069;2718;460;0;0;;;423321
332;п.Чернь, Свободная ул., 141;ЧЕРНЬ;Тульская область;;;;;;692;9986;2716;6405;0;0;;;387679
333;г.Калуга, с.Росва, Советская ул, 9;Росва;Калужская область;;;;;;368;10000;2714;1667;0;0;;остановка;423321
334;с.Оболенское, Кутузова ул, 1А;Оболенское;Калужская область;;;;;;200;10035;2713;722;0;0;;;423321
335;с.Барятино, Советская ул., 22;БАРЯТИНО;Калужская область;;;;;;438;9995;2710;2748;0;0;;;423321
336;рп.Одоев, 50 лет Октября ул, 59А;ОДОЕВ;Тульская область;;;;;;813;9990;2700;6144;0;0;;;387679
337;г.Юхнов, Урицкого ул, 33/2;ЮХНОВ;Калужская область;;;;;;448;10075;2696;7056;0;0;;;423321
338;г.Кондрово, 2-я Стефанова ул, 35А;КОНДРОВО;Калужская область;;;;;;116;10056;2695;16672;0;0;;;423321
339;г.Калуга, Строительная ул., 26;КУРОВСКОЙ;Калужская область;;0.5;;3;0;760;9980;2694;3207;0;0;;;423321
340;п.Рассвет, Новая ул., 1В;РАССВЕТ;Тульская область;;;;;;1272;9991;2682;4165;0;0;;;387679
341;г.Сосенский, Космонавтов ул., 6;СОСЕНСКИЙ;Калужская область;;;;;;2185;9971;2658;12392;0;0;;;423321
342;г.Калуга, д.Мстихино, Центральная ул., 11;Мстихино;Калужская область;;;;;;127;10029;2653;2658;1;0;;;423321
343;г.Тула, п.Хомяково, Хомяковская ул., 8Б;Хомяково;Тульская область;;;;;;1411;9953;2632;119;1;0;;;387679
344;г.Кондрово, Ленина ул, 31-А;КОНДРОВО;Калужская область;;;;;;2166;9932;2576;16672;0;0;;;423321
345;г.Тула, Щекинское ш, 26А;ТУЛА;Тульская область;;;;;;377;9926;2451;482873;0;0;;остановка;387679
346;г.Кимовск, Коммунистическая ул., 10 А;КИМОВСК;Тульская область;;;;;;2616;9943;2690;28485;0;0;;;387679
347;г.Алексин, Пахомова ул, 11А;АЛЕКСИН;Тульская область;;0.8;;5;1;2641;9921;2538;61732;0;0;;;387679
348;г.Ефремов, Дружбы ул., 4 А;ЕФРЕМОВ;Тульская область;;0.5;;6;1;2457;9918;2597;42350;0;0;;;387679
349;п.Лазарево, Тульская ул., 14Б;Лазарево;Тульская область;;;;;;794;9980;2695;2208;0;0;;;387679
350;г.Советск, Энергетиков ул, 27;СОВЕТСК;Тульская область;;0.5;;6;1;1726;9944;2630;7536;0;0;;;387679
351;г.Суворов, Макарова пл, 6;СУВОРОВ;Тульская область;;0.7;;5;1;2282;9933;2619;18973;0;0;;;387679
352;г.Кимовск, Мелихова ул, 15А;КИМОВСК;Тульская область;;0.2;;2;;1809;9954;2633;28485;0;0;;;387679
353;г.Богородицк, Коммунаров ул., 90;БОГОРОДИЦК;Тульская область;;;;;;814;9977;2778;31897;0;0;;;387679
354;д.Бежка77;Бежка;Тульская область;;;;;;122;10009;2726;500;0;0;;;387679
355;с.Крапивна, Л.Толстого ул., 2 А;Крапивна;Тульская область;;;;;;154;10022;2708;1069;0;0;;;387679
356;рп.Теплое, Советская ул, 17;ТЁПЛОЕ;Тульская область;;;;;;920;9950;2702;5115;0;0;;;387679
357;п.Первомайский, Школьная ул., 6;ПЕРВОМАЙСКИЙ;Тульская область;;;;;;908;9964;2699;10058;0;0;;;387679
358;п.Ломинцевский, Центральная ул., 15;ЛОМИНЦЕВСКИЙ;Тульская область;;;;;;896;9955;2694;4700;0;0;;;387679
359;г.Малоярославец, 17 Стрелковой дивизии ул., 2 Б;МАЛОЯРОСЛАВЕЦ;Калужская область;1;1.2;0;5;1;762;9976;2688;30392;0;0;;;423321
360;г.Ефремов, Комсомольская ул, 19;ЕФРЕМОВ;Тульская область;;;;;;2446;9959;2688;42350;0;0;;;387679
361;г.Ясногорск, Комсомольская ул., 2;ЯСНОГОРСК;Тульская область;;;;;;1753;9962;2680;16795;0;0;;;387679
362;п.Ферзиково, Победы ул, 6;ФЕРЗИКОВО ПОСЁЛОК;Калужская область;;;;;;262;9991;2671;4600;0;0;;;423321
363;п.Брусянский, Пугачева ул, 4;БРУСЯНСКИЙ;Тульская область;;;;;;1030;9947;2670;3498;0;0;;остановка;387679
364;п.Волово, Хрунова ул., 12 А;ВОЛОВО;Тульская область;;;;;;515;9994;2660;3853;0;0;;;387679
365;г.Мещовск, Революции пр-кт, 45 п.1;МЕЩОВСК;Калужская область;;;;;;624;9942;2656;4100;0;0;;;423321
366;г.Ефремов, Строителей ул, 22Б;ЕФРЕМОВ;Тульская область;;;;;;2564;9936;2655;42350;0;0;;;387679
367;г.Козельск, Заводская ул, 11А;КОЗЕЛЬСК;Калужская область;;1.3;;10;1;710;9947;2644;18245;0;0;;;423321
368;г.Ясногорск, Заводская ул., 19;ЯСНОГОРСК;Тульская область;;;;;;827;9988;2642;16795;0;0;;;387679
369;с.Воскресенское80а;Воскресенское;Калужская область;;;;;;0;9991;2641;1800;0;0;;;423321
370;г.Сокольники, Комсомольская ул., 25;Новомосковск;Тульская область;;;;;;1248;9943;2635;500;0;0;;;387679
371;г.Медынь, Ленина пр-кт, 64 п.3;МЕДЫНЬ;Калужская область;;;;;;467;10015;2615;8300;0;0;;;423321
372;п.Каменецкий, Клубная ул, стр.5;Каменецкий;Тульская область;;;;;;1104;9939;2612;2506;0;0;;;387679
373;рп.Чернь, Ленина ул, 21;ЧЕРНЬ;Тульская область;;;;;;1810;9927;2604;6405;0;0;;;387679
374;г.Ясногорск, Зои Космодемьянской ул, 1;ЯСНОГОРСК;Тульская область;;;;;;1870;9955;2601;16795;0;0;;;387679
375;п.Думиничи, Большая Пролетарская ул., 87;ДУМИНИЧИ;Калужская область;;;;;;714;9973;2600;6326;0;0;;;423321
376;г.Таруса, Шмидта ул., 30;ТАРУСА;Калужская область;;;;;;384;10017;2593;9660;0;0;;;423321
377;п.Мятлево, Кирова ул, 1А;Мятлево;Калужская область;;;;;;0;10012;2584;1627;0;0;;;423321
378;п.Майский, Шахтеров ул., 4 А;Майский;Тульская область;;;;;;1164;9929;2575;2289;0;0;;;387679
379;г.Суворов, Гагарина ул, 5;СУВОРОВ;Тульская область;;;;;;1830;9927;2565;18973;0;0;;;387679
380;г.Людиново, Кропоткина ул, в р-не 48;ЛЮДИНОВО;Калужская область;;1.2;;7;1;2485;9922;2541;40530;0;0;;;423321
381;п.Думиничи, Ленина ул., 44;ДУМИНИЧИ;Калужская область;;;;;;1240;9933;2513;6326;0;0;;;423321
382;г.Белоусово, Московская ул, 111;БЕЛОУСОВО;Калужская область;;0.7;;3;;2405;9925;2456;8412;0;0;;;423321
383;г.Узловая, Тульская ул., 13 А;УЗЛОВАЯ;Тульская область;;;;;;871;9943;2545;55282;0;0;;;387679
384;г.Ефремов, Свердлова ул;ЕФРЕМОВ;Тульская область;;0.3;;4;;2054;9915;2472;42350;0;0;;;387679
385;с.Хвастовичи, Ленина ул., 3 А;ХВАСТОВИЧИ;Калужская область;;;;;;192;9980;2663;4509;0;0;;;423321
386;с.Хвастовичи, Ленина ул, 38;ХВАСТОВИЧИ;Калужская область;;;;;;320;9956;2659;4509;0;0;;;423321
387;г.Богородицк, мкр.Жданковский, Клубная ул., 4;Жданковский;Тульская область;;;;;;936;9945;2655;500;0;0;;;387679
388;п.Барсуки, Микрорайон тер., 1;БАРСУКИ;Тульская область;;;;;;638;9967;2646;3269;0;0;;;387679
389;г.Узловая, Центральная ул., 7;5-Я Пятилетка;Тульская область;;;;;;690;9945;2643;500;0;0;;;387679
390;с.Спасское, Центральная ул., 4 А;Спасское;Тульская область;;;;;;517;9938;2641;1751;0;0;;;387679
391;г.Донской, Комсомольский мкр, Трудовая ул, 3;Комсомольский;Тульская область;;;;;;609;9940;2641;500;0;0;;;387679
392;рп.Теплое, Сельхозтехниковская ул, 35А;ТЁПЛОЕ;Тульская область;;;;;;428;9984;2640;5115;0;0;;;387679
393;п.Мордвес, Почтовая ул, 9А;МОРДВЕС;Тульская область;;;;;;211;10058;2633;1276;0;0;;;387679
394;рп.Епифань, Колхозная ул, 1А;ЕПИФАНЬ;Тульская область;;;;;;306;9987;2613;2237;0;0;;;387679
395;с.Износки, Ленина ул., 6А;ИЗНОСКИ;Калужская область;;;;;;119;9962;2602;1877;0;0;;;423321
396;с.Дворцы, Федорова ул, 12;Дворцы;Калужская область;;;;;;436;9956;2586;1492;0;0;;;423321
397;с.Архангельское, Комсомольская ул., 16Б;АРХАНГЕЛЬСКОЕ;Тульская область;;;;;;865;9959;2580;2391;0;0;;;387679
398;г.Суворов, Грибоедова ул, 30;СУВОРОВ;Тульская область;;;;;;1016;9927;2527;18973;0;0;;;387679
399;г.Богородицк, Восточный мкр, 2;БОГОРОДИЦК;Тульская область;;;;;;1369;9923;2527;31897;0;0;;;387679
400;рп.Чернь, Революционная ул., 3;ЧЕРНЬ;Тульская область;;;;;;1721;9940;2523;6405;0;0;;;387679
401;п.Ферзиково, Пионерская ул, 4;ФЕРЗИКОВО ПОСЁЛОК;Калужская область;;;;;;734;9921;2488;4600;0;0;;;423321
402;г.Малоярославец, Чистовича ул, 24 п.1;МАЛОЯРОСЛАВЕЦ;Калужская область;;;;;;1180;9919;2327;30392;0;0;;;423321
403;п.Бегичевский, Первомайская ул, 10А;Бегичевский;Тульская область;;;;;;949;9921;2522;2278;0;0;;;387679
404;г.Липки, Лермонтова ул., 8;ЛИПКИ;Тульская область;;;;;;30;9956;2686;8719;0;0;;;387679
405;г.Спас-Деменск, Заводской пер, 4;СПАС-ДЕМЕНСК;Калужская область;;0.2;;3;1;331;9979;2556;4896;0;0;;;423321
406;п.Бетлица, Кирова ул, 25;БЕТЛИЦА;Калужская область;;;;;;280;9947;2549;3589;0;0;;;423321
407;п.Октябрьский, Ленина ул, 15;ОКТЯБРЬСКИЙ;Тульская область;;;;;;875;9926;2536;3281;0;0;;;387679
408;г.Кондрово, Коммуны ул, 4;КОНДРОВО;Калужская область;;;;;;168;9934;2472;16672;0;0;;;423321
409;с.Ульяново, Большая Советская ул, 69;УЛЬЯНОВО;Калужская область;;;;;;266;9930;2455;3022;0;0;;;423321
410;г.Медынь, Варшавское ш, 15А;МЕДЫНЬ;Калужская область;;;;;;65;9929;2451;8300;0;0;;;423321
411;г.Ефремов, Горького ул, 17;ЕФРЕМОВ;Тульская область;;;;;;;9917;2419;42350;0;0;;;387679
412;д.Чернятино86А;Чернятино;Тульская область;;;;;;348;9939;2557;1234;0;0;;;387679
413;п.Дубовка, квартал 5/15, Центральный перс.6;ДУБОВКА ПОСЁЛОК;Тульская область;;;;;;355;9930;2550;8942;0;0;;остановка;387679
414;г.Донской, мкр.Северо-Задонск, Мичурина ул, 76 п.1;Северо-Задонск;Тульская область;;;;;;283;9930;2533;500;0;0;;;387679
415;с.Гремячее, Новики ул., 12;Гремячее;Тульская область;;;;;;139;9944;2421;1337;0;0;;;387679
417;с.Коллонтай, Московская ул, 23;Коллонтай;Калужская область;;;;;;85;9911;2231;555;0;0;;;423321
